Target,R² Score,MAE,RMSE,RandomState,Model
W. FLY(ABOVE ETL),0.8215802564845065,3.952345679012346,7.0645430218094,0,RandomForest
JASSID(ABOVE ETL),0.6326268647853237,3.2201406035665294,5.4801929885765785,0,RandomForest
THRIPS(ABOVE ETL),0.5973304061310778,1.4417009602194788,3.201748921936585,0,RandomForest
M.BUG(ABOVE ETL),0.8528863760523004,2.5493689986282577,5.054482568267677,0,RandomForest
MITES(ABOVE ETL),-0.3398599930575068,0.019375857338820305,0.19527160923119907,0,RandomForest
APHIDS(ABOVE ETL),-0.10971794254133105,0.027205075445816185,0.3277960342268797,0,RandomForest
DUSKY COTTON BUG(ABOVE ETL),0.4764175303604238,0.8688683127572018,3.565790217685725,0,RandomForest
W. FLY(BELOW ETL),0.828828468099918,9.594334705075447,14.154483802964878,0,RandomForest
JASSID(BELOW ETL),0.8352743825331116,9.652345679012345,14.812299318846858,0,RandomForest
THRIPS(BELOW ETL),0.7513826201401482,12.394495884773661,18.870175273407195,0,RandomForest
MITES(BELOW ETL),0.2663104747025441,1.8055384087791495,5.172372188222532,0,RandomForest
APHIDS(BELOW ETL),0.5538979651971951,1.12,4.989516100692252,0,RandomForest
DUSKY COTTON BUG(BELOW ETL),0.7959053347123668,8.243762002743484,13.045180591306814,0,RandomForest
SBW(ABOVE ETL),0.11708196886100941,0.04403292181069959,0.28293969266347085,0,RandomForest
PBW(ABOVE ETL),0.8074132345364173,1.6975342935528122,3.6643794166156325,0,RandomForest
ABW(ABOVE ETL),-0.49777484386821147,0.03693415637860082,0.2773886162848873,0,RandomForest
Army Worm(ABOVE ETL),0.4941709427675084,1.3306241426611796,2.7238982872505892,0,RandomForest
SBW(BELOW ETL),0.44125660223115903,0.2265912208504801,1.0034286215911212,0,RandomForest
PBW(BELOW ETL),0.7875828802165049,5.226954732510288,8.579126045449135,0,RandomForest
ABW(BELOW ETL),0.3739673107840018,0.5839643347050755,1.818459548715753,0,RandomForest
CLCV(%SPOT),0.813835073907624,2.8775137174211247,6.4605887897534595,0,RandomForest
CLCV(%AREA),0.7287416197457355,3.4605967078189295,8.202080091821065,0,RandomForest
WILT(%SPOT),0.4271139253445456,0.4149794238683127,1.8510174231178569,0,RandomForest
WILT(%AREA),0.3571028230582918,0.3962928669410151,1.8915717602776363,0,RandomForest
W. FLY(ABOVE ETL),0.8180342915308895,3.8940500685871053,6.775402379235399,21,RandomForest
JASSID(ABOVE ETL),0.6218292169398876,3.290048010973937,5.610633783633239,21,RandomForest
THRIPS(ABOVE ETL),0.5858713759401278,1.478028120713306,3.241412993766626,21,RandomForest
M.BUG(ABOVE ETL),0.8535434796661726,2.4167489711934156,4.831741372565177,21,RandomForest
MITES(ABOVE ETL),-0.07336119461453783,0.016906721536351164,0.20548881131950575,21,RandomForest
APHIDS(ABOVE ETL),-0.04623812923753223,0.025377229080932786,0.3117167825730962,21,RandomForest
DUSKY COTTON BUG(ABOVE ETL),0.6194398798345678,0.8093004115226338,2.767265863023094,21,RandomForest
W. FLY(BELOW ETL),0.824960097760613,9.741865569272976,14.467398672478149,21,RandomForest
JASSID(BELOW ETL),0.8484073413070621,9.282873799725651,14.252743901107689,21,RandomForest
THRIPS(BELOW ETL),0.7652743132784947,12.132143347050755,18.32473603786256,21,RandomForest
MITES(BELOW ETL),0.33941214481210547,1.753312757201646,4.844028007642019,21,RandomForest
APHIDS(BELOW ETL),0.5447253233442315,1.035030864197531,4.551487332087873,21,RandomForest
DUSKY COTTON BUG(BELOW ETL),0.7958244698634991,8.383401920438958,13.392156650045914,21,RandomForest
SBW(ABOVE ETL),0.3373701372238753,0.048868312757201646,0.34556270089075525,21,RandomForest
PBW(ABOVE ETL),0.8151479004004993,1.6270747599451303,3.450786569645469,21,RandomForest
ABW(ABOVE ETL),-0.01780806616068986,0.03713991769547325,0.35571466347439146,21,RandomForest
Army Worm(ABOVE ETL),0.48727566398585176,1.2756515775034294,2.6847104816665746,21,RandomForest
SBW(BELOW ETL),0.5245027087755328,0.21878943758573385,0.9916132018647608,21,RandomForest
PBW(BELOW ETL),0.777654106931136,5.279008916323731,8.69842774489713,21,RandomForest
ABW(BELOW ETL),0.45021229855693934,0.5314986282578875,1.695442501044616,21,RandomForest
CLCV(%SPOT),0.825488607855968,2.893189300411523,6.607493895796681,21,RandomForest
CLCV(%AREA),0.7562932926217074,3.3856893004115225,8.260715112097579,21,RandomForest
WILT(%SPOT),0.33299449280263604,0.3838614540466393,1.8567916153625477,21,RandomForest
WILT(%AREA),0.30537128753266884,0.3709945130315501,1.9078445921128693,21,RandomForest
W. FLY(ABOVE ETL),0.8025494244093079,3.917465706447188,7.270290463420054,42,RandomForest
JASSID(ABOVE ETL),0.6035564724618544,3.2701234567901234,5.7432859948991215,42,RandomForest
THRIPS(ABOVE ETL),0.569050730070087,1.4895130315500682,3.297178138388774,42,RandomForest
M.BUG(ABOVE ETL),0.8313586009978791,2.534320987654321,5.250992315913561,42,RandomForest
MITES(ABOVE ETL),-0.37780803615110803,0.017901234567901235,0.18167034768045512,42,RandomForest
APHIDS(ABOVE ETL),-0.15000377075101268,0.02559327846364883,0.27890444351881605,42,RandomForest
DUSKY COTTON BUG(ABOVE ETL),0.5521245063453526,0.8517318244170095,2.984655677466255,42,RandomForest
W. FLY(BELOW ETL),0.8199370828458127,9.89380658436214,14.706372861568695,42,RandomForest
JASSID(BELOW ETL),0.8425463607903314,9.499231824417011,14.592677096014024,42,RandomForest
THRIPS(BELOW ETL),0.7289469727849065,12.784434156378602,19.670575670839483,42,RandomForest
MITES(BELOW ETL),0.3658765207571324,1.80400548696845,4.574684222313277,42,RandomForest
APHIDS(BELOW ETL),0.5920632259325034,1.0297325102880657,4.230431963208495,42,RandomForest
DUSKY COTTON BUG(BELOW ETL),0.7835342995902688,8.436601508916324,13.715609504036463,42,RandomForest
SBW(ABOVE ETL),0.36643926429413964,0.04338134430727023,0.306508055242712,42,RandomForest
PBW(ABOVE ETL),0.8125760373498275,1.6216632373113855,3.5653000872204514,42,RandomForest
ABW(ABOVE ETL),0.017202607376156087,0.0406721536351166,0.40017143102831354,42,RandomForest
Army Worm(ABOVE ETL),0.508415469689636,1.2394238683127572,2.4918672380288625,42,RandomForest
SBW(BELOW ETL),0.45923878954198316,0.24584362139917695,1.2162310229699653,42,RandomForest
PBW(BELOW ETL),0.7988253920943804,5.011519204389574,8.409802658880698,42,RandomForest
ABW(BELOW ETL),0.3862927891591106,0.5871604938271604,2.129324921840469,42,RandomForest
CLCV(%SPOT),0.8150316999223168,2.8029355281207136,6.802745224730423,42,RandomForest
CLCV(%AREA),0.7651051145442449,3.3211179698216737,7.973919232640208,42,RandomForest
WILT(%SPOT),0.4430743366585964,0.3304835390946502,1.454721523843707,42,RandomForest
WILT(%AREA),0.2774408091244088,0.33875857338820303,1.6069623466463347,42,RandomForest
W. FLY(ABOVE ETL),0.7913072555711597,3.8352023319615913,7.057109066358944,77,RandomForest
JASSID(ABOVE ETL),0.5925904791355382,3.415956790123457,6.150552773288723,77,RandomForest
THRIPS(ABOVE ETL),0.49902135241073275,1.4646776406035664,3.1955989540142737,77,RandomForest
M.BUG(ABOVE ETL),0.8448904654497464,2.344701646090535,4.780701900902725,77,RandomForest
MITES(ABOVE ETL),-0.006654173517486317,0.01731824417009602,0.22170464416773464,77,RandomForest
APHIDS(ABOVE ETL),-0.11348696415831871,0.031011659807956105,0.341617681924643,77,RandomForest
DUSKY COTTON BUG(ABOVE ETL),0.6521519836474947,0.7161865569272977,2.5813499621101643,77,RandomForest
W. FLY(BELOW ETL),0.7983056861392118,9.87141975308642,15.485104706267258,77,RandomForest
JASSID(BELOW ETL),0.8291902878854882,9.394098079561042,15.207833254081615,77,RandomForest
THRIPS(BELOW ETL),0.7518263993856109,12.351069958847736,18.895896775543335,77,RandomForest
MITES(BELOW ETL),0.3533560802469483,1.8023491083676269,4.623236834422448,77,RandomForest
APHIDS(BELOW ETL),0.585977033151762,1.201673525377229,4.956480018127383,77,RandomForest
DUSKY COTTON BUG(BELOW ETL),0.7965061944156099,8.080291495198901,13.065904992970152,77,RandomForest
SBW(ABOVE ETL),0.13741591644475482,0.03741426611796982,0.2854556197323197,77,RandomForest
PBW(ABOVE ETL),0.8218492466021912,1.547712620027435,3.3309463624336777,77,RandomForest
ABW(ABOVE ETL),0.0060633926028402785,0.028772290809327847,0.2274010736239439,77,RandomForest
Army Worm(ABOVE ETL),0.4258218267094438,1.3004835390946503,2.617147560067254,77,RandomForest
SBW(BELOW ETL),0.5591663284115692,0.2070541838134431,1.0039009817058446,77,RandomForest
PBW(BELOW ETL),0.80902981546161,4.870102880658437,8.127440829956527,77,RandomForest
ABW(BELOW ETL),0.4851058941224238,0.5343587105624142,1.6902638266971455,77,RandomForest
CLCV(%SPOT),0.8299957415769623,2.611700960219479,5.799738961062033,77,RandomForest
CLCV(%AREA),0.7887715619385879,3.012976680384088,6.775917716837315,77,RandomForest
WILT(%SPOT),0.5056556675445454,0.3528772290809328,1.724137296449909,77,RandomForest
WILT(%AREA),0.38837219212280605,0.3709636488340192,1.93758448640964,77,RandomForest
W. FLY(ABOVE ETL),0.8152270481775812,3.7510082304526753,6.596598637195302,101,RandomForest
JASSID(ABOVE ETL),0.5597274766899809,3.310130315500686,5.960366348606619,101,RandomForest
THRIPS(ABOVE ETL),0.5334639934248986,1.4269410150891633,3.1276776950415393,101,RandomForest
M.BUG(ABOVE ETL),0.8431630997293603,2.394948559670782,4.828122382535549,101,RandomForest
MITES(ABOVE ETL),-0.07310995504295903,0.017661179698216737,0.21606437337764112,101,RandomForest
APHIDS(ABOVE ETL),-0.049787466593326,0.022746913580246914,0.2976479010117162,101,RandomForest
DUSKY COTTON BUG(ABOVE ETL),0.42987368671177295,0.7916838134430728,3.322075965028663,101,RandomForest
W. FLY(BELOW ETL),0.8150847352505675,9.95352537722908,14.867883136855545,101,RandomForest
JASSID(BELOW ETL),0.8465843791114578,9.519320987654321,14.506041733581426,101,RandomForest
THRIPS(BELOW ETL),0.7531806279628319,12.38494170096022,18.82485048315938,101,RandomForest
MITES(BELOW ETL),0.3005754434908382,1.9546844993141288,5.368762735109319,101,RandomForest
APHIDS(BELOW ETL),0.5305157982079636,1.166968449931413,5.021787113785943,101,RandomForest
DUSKY COTTON BUG(BELOW ETL),0.7938129453879053,8.02351851851852,12.857326403636842,101,RandomForest
SBW(ABOVE ETL),0.22963446939284826,0.033916323731138544,0.24482994294044078,101,RandomForest
PBW(ABOVE ETL),0.8187846614227804,1.4874897119341566,3.2858297939549836,101,RandomForest
ABW(ABOVE ETL),-0.17888453871055798,0.03734567901234568,0.2567804782139202,101,RandomForest
Army Worm(ABOVE ETL),0.48460883877031824,1.252054183813443,2.6286102419036714,101,RandomForest
SBW(BELOW ETL),0.5323377303692846,0.20656035665294925,1.052240163717351,101,RandomForest
PBW(BELOW ETL),0.8006350923880222,4.935665294924554,8.227880514692734,101,RandomForest
ABW(BELOW ETL),0.4484896715896277,0.5447427983539094,1.8698064698165693,101,RandomForest
CLCV(%SPOT),0.8356174434961183,2.7035528120713312,6.020888331159805,101,RandomForest
CLCV(%AREA),0.7464163518404293,3.347229080932785,7.826154993930676,101,RandomForest
WILT(%SPOT),0.4446727921613216,0.41800411522633746,1.8756517477234407,101,RandomForest
WILT(%AREA),0.3599052233700166,0.4185390946502058,2.020879607887308,101,RandomForest
W. FLY(ABOVE ETL),0.6985422702421132,4.9722359396433475,9.18281491594605,0,DecisionTree
JASSID(ABOVE ETL),0.34759258027269346,4.028830589849108,7.303005054012358,0,DecisionTree
THRIPS(ABOVE ETL),0.27068047068967793,1.7813580246913583,4.30895317953553,0,DecisionTree
M.BUG(ABOVE ETL),0.7505996152687089,3.1000068587105623,6.581104936184345,0,DecisionTree
MITES(ABOVE ETL),-1.5612666743805477,0.0193758573388203,0.26998323374250044,0,DecisionTree
APHIDS(ABOVE ETL),-1.14881023573139,0.03063443072702332,0.45613817757017117,0,DecisionTree
