Target,R² Score,MAE,RMSE,RandomState,Model
CLCV(%SPOT),-0.1877182624591125,6.9888614540466385,17.238214110520982,42,SVM
CLCV(%AREA),-0.18054083051438408,7.126467764060356,17.876214542371198,42,SVM
WILT(%SPOT),-0.009918212946845806,0.38466735253772294,1.9589545114110682,42,SVM
WILT(%AREA),-0.005739176312416827,0.3337517146776406,1.8958835994783325,42,SVM
W. FLY(ABOVE ETL),-0.21534642237002055,10.340497256515775,17.03033526501117,77,SVM
JASSID(ABOVE ETL),-0.20860660579754664,6.4436316872427986,10.59353837237179,77,SVM
THRIPS(ABOVE ETL),-0.14332669034238132,1.8611728395061728,4.827561702249497,77,SVM
M.BUG(ABOVE ETL),-0.21369837029691463,5.734125514403292,13.372967875059746,77,SVM
MITES(ABOVE ETL),-0.163695876718847,0.10997942386831273,0.23837153281027706,77,SVM
APHIDS(ABOVE ETL),-0.0667885888117763,0.115579561042524,0.33437742858367053,77,SVM
DUSKY COTTON BUG(ABOVE ETL),-0.02519994537060466,0.8781893004115227,4.431557706236454,77,SVM
W. FLY(BELOW ETL),-0.12122885499291236,29.227585733882027,36.510220161878806,77,SVM
JASSID(BELOW ETL),-0.2070028082455484,31.43039437585734,40.42641239548838,77,SVM
THRIPS(BELOW ETL),-0.16119567019034298,32.946941015089166,40.87355580061525,77,SVM
MITES(BELOW ETL),-0.059138854395406115,1.57570987654321,5.916842276997436,77,SVM
APHIDS(BELOW ETL),-0.030672197390119837,1.5353497942386831,7.8202641655289185,77,SVM
DUSKY COTTON BUG(BELOW ETL),-0.16788977557818696,21.435010288065847,31.301476749085264,77,SVM
SBW(ABOVE ETL),-0.06892758470957427,0.1180727023319616,0.31776936015787305,77,SVM
PBW(ABOVE ETL),-0.15419870794256907,3.2446262002743484,8.47840385493034,77,SVM
ABW(ABOVE ETL),-0.13413842210196525,0.11529492455418379,0.24291045051304389,77,SVM
Army Worm(ABOVE ETL),-0.12222904145217028,1.363412208504801,3.6588585634941286,77,SVM
SBW(BELOW ETL),-0.004292623956108743,0.2928223593964335,1.5152477082259357,77,SVM
PBW(BELOW ETL),-0.19238991580935116,12.884032921810698,20.30860907104543,77,SVM
ABW(BELOW ETL),-0.016837280784595343,0.49330932784636483,2.3753153064830403,77,SVM
CLCV(%SPOT),-0.1985083757520234,6.404362139917695,15.399232767306088,77,SVM
CLCV(%AREA),-0.19023358379360333,6.567537722908091,16.084517212659343,77,SVM
WILT(%SPOT),-0.01210492908181382,0.4593038408779149,2.4670039044854035,77,SVM
WILT(%AREA),-0.008556985799814676,0.4186865569272977,2.488096717241599,77,SVM
W. FLY(ABOVE ETL),-0.237443132765927,10.301412894375858,17.071177861537468,101,SVM
JASSID(ABOVE ETL),-0.20743770200115375,6.109897119341563,9.87062218774044,101,SVM
THRIPS(ABOVE ETL),-0.1370045197212535,1.8481344307270233,4.882705208272523,101,SVM
M.BUG(ABOVE ETL),-0.2109202534578214,5.720298353909465,13.415656083658632,101,SVM
MITES(ABOVE ETL),-0.1859942168237212,0.10936213991769547,0.22714455794881225,101,SVM
APHIDS(ABOVE ETL),-0.08742429264598517,0.1134190672153635,0.30293653103931595,101,SVM
DUSKY COTTON BUG(ABOVE ETL),-0.028649470188560233,0.92789780521262,4.462289264504235,101,SVM
W. FLY(BELOW ETL),-0.11003475274193053,29.226879286694096,36.42764075121512,101,SVM
JASSID(BELOW ETL),-0.1817563749370361,31.495781893004114,40.26040213376619,101,SVM
THRIPS(BELOW ETL),-0.17780515107613382,33.09292524005487,41.12241756227351,101,SVM
MITES(BELOW ETL),-0.05843561449253443,1.7280246913580246,6.604439947741187,101,SVM
APHIDS(BELOW ETL),-0.02910786292630374,1.4372427983539096,7.434953467170116,101,SVM
DUSKY COTTON BUG(BELOW ETL),-0.2031534146481031,21.398120713305897,31.058499904595056,101,SVM
SBW(ABOVE ETL),-0.08051269228016067,0.11934156378600821,0.28995529668221975,101,SVM
PBW(ABOVE ETL),-0.1613940844193147,3.2444787379972566,8.318353849661337,101,SVM
ABW(ABOVE ETL),-0.126522371130654,0.11464334705075446,0.251013036676621,101,SVM
Army Worm(ABOVE ETL),-0.11383265898561534,1.3915946502057615,3.864271985339591,101,SVM
SBW(BELOW ETL),-0.004384924126592082,0.2959910836762688,1.542051225532846,101,SVM
PBW(BELOW ETL),-0.21027992974831644,13.010411522633746,20.272463820882717,101,SVM
ABW(BELOW ETL),-0.01885240127875365,0.533425925925926,2.5414143030619694,101,SVM
CLCV(%SPOT),-0.1884690887788114,6.583347050754457,16.18924712568718,101,SVM
CLCV(%AREA),-0.18161378006833284,6.759533607681754,16.89373181254467,101,SVM
WILT(%SPOT),-0.01201016113261244,0.4656172839506173,2.532037693914117,101,SVM
WILT(%AREA),-0.009251124157035662,0.43272976680384095,2.5375693548064207,101,SVM
