Target,R² Score,MAE,RMSE,RandomState,Model
W. FLY(ABOVE ETL),0.8058946734079508,3.9064231870219177,6.805999000026717,77,XGBoost
JASSID(ABOVE ETL),0.6092112308331217,3.406491771877548,6.0237868945074675,77,XGBoost
THRIPS(ABOVE ETL),0.4970312501166988,1.4818244187383616,3.2019398086780733,77,XGBoost
M.BUG(ABOVE ETL),0.8344969991739796,2.5046673656748646,4.938275934899089,77,XGBoost
MITES(ABOVE ETL),-0.18153513784023123,0.021227709262214078,0.24019168135494207,77,XGBoost
APHIDS(ABOVE ETL),-0.15783602600509816,0.0299828533809862,0.34835440140905016,77,XGBoost
DUSKY COTTON BUG(ABOVE ETL),0.6972624947351762,0.7130315535056656,2.4081594300059566,77,XGBoost
W. FLY(BELOW ETL),0.7939011019159702,10.264560989327473,15.653272790697715,77,XGBoost
JASSID(BELOW ETL),0.8368634550725661,9.825682442124592,14.862322872354579,77,XGBoost
THRIPS(BELOW ETL),0.7541665260300365,12.833484239272558,18.80659733983075,77,XGBoost
MITES(BELOW ETL),0.3246909831845033,1.8949417011058582,4.724597509419053,77,XGBoost
APHIDS(BELOW ETL),0.5828545440981683,1.2729012382047862,4.975135364556478,77,XGBoost
DUSKY COTTON BUG(BELOW ETL),0.7859741540885525,8.722026748099404,13.399759701440983,77,XGBoost
SBW(ABOVE ETL),0.0034596251871799044,0.03933470530335795,0.3068211734762353,77,XGBoost
PBW(ABOVE ETL),0.8209450483228118,1.6028566510768911,3.3393887180265724,77,XGBoost
ABW(ABOVE ETL),-0.1938576810574686,0.03408779178596573,0.24922376157681347,77,XGBoost
Army Worm(ABOVE ETL),0.42123645734676085,1.352403978820691,2.627577009415259,77,XGBoost
SBW(BELOW ETL),0.4684064558787664,0.2391529496676392,1.1024105184955073,77,XGBoost
PBW(BELOW ETL),0.8029944613591937,5.120267472602172,8.254870234250618,77,XGBoost
ABW(BELOW ETL),0.5367685524033681,0.5470541866521245,1.6032252880861566,77,XGBoost
CLCV(%SPOT),0.8205158613111255,2.9412277114033616,5.959249717164236,77,XGBoost
CLCV(%AREA),0.7904080279514631,3.3221330663031394,6.749618891833934,77,XGBoost
WILT(%SPOT),0.48000467027475135,0.4334670788807021,1.768303426267722,77,XGBoost
WILT(%AREA),0.2876802065183739,0.46702675072959177,2.091002458757223,77,XGBoost
W. FLY(ABOVE ETL),0.812564777539693,3.933305908761438,6.643951679974472,101,XGBoost
JASSID(ABOVE ETL),0.5615356541925562,3.391200274484352,5.948114290947431,101,XGBoost
